pose,videoLanguage,start,end,text,split
542f91846c204bd38e6e283a3d1af96f.pose,ase,346,803,𝠃𝤘𝥂񌏁𝣴𝣵񍠑𝣿𝤌񀀑𝤄𝤤񈺃𝣜𝤠,train
19097be0e2094c4aa6b2fdc208c8231e.pose,ase,155656,157344,𝠃𝤧𝥣񋠷𝣬𝥔񁵹𝣮𝤲񁶑𝣿𝤡񋡓𝤇𝥀񌂇𝣴𝣮,test
19097be0e2094c4aa6b2fdc208c8231e.pose,ase,157344,157638,𝠃𝤧𝥮񁲡𝤐𝤣񈩣𝤒𝥆񌂇𝣴𝣮,test
19097be0e2094c4aa6b2fdc208c8231e.pose,ase,157718,157927,𝠃𝤥𝤴񈗡𝤗𝤑񅰡𝣿𝤜񆕁𝤗𝤤񌂇𝣴𝣮񎁑𝣴𝣻,test
19097be0e2094c4aa6b2fdc208c8231e.pose,ase,157927,158479,𝠃𝤘𝥀񆿅𝤀𝤱񌂇𝣴𝣮񂋡𝤀𝤔,test
s2m000257553265e936ce58035b3cd6124b.pose,gsg,0,2319,𝠀񋾡񍘱񂩸񇅃𝠃𝤞𝤰񋾡𝣮𝣜񍘱𝣹𝣴񂩸𝤐𝤈񇅃𝤀𝤟,train
s2m000daa75a756a3772e8ceacd65fb725f.pose,gsg,0,2436,𝠀񋾡񋾡񍯑񋵡񂣹񆿃񁲩񀕃񅰈𝠃𝥊𝤴񋾡𝣊𝣘񋾡𝤓𝣘񍯑𝣗𝣮񋵡𝤈𝤮񂣹𝤌𝤘񆿃𝤜𝤜񁲩𝣃𝤓񀕃𝤬𝤝񅰈𝣝𝤞,train
s2m00166d5fc2d68a52156fc2156b03d385.pose,gsg,0,2502,𝠀񋾡񎋱񆢡񀀡񇀧񆪁񋴅𝠃𝤫𝤸񋾡𝣢𝣕񎋱𝣯𝣩񆢡𝣯𝣹񀀡𝣱𝤁񇀧𝤂𝤓񆪁𝤥𝤒񋴅𝤂𝤭,train
s2m001836ee2b42115e3e7e5b96e587a27d.pose,gsg,0,2600,𝠀񋾡񎋵񈙇񈙓񃄑񃄙񆇡񋸥𝠃𝤽𝥈񋾡𝣴𝣅񎋵𝤁𝣙񈙇𝤟𝤁񈙓𝣐𝤁񃄑𝤇𝤁񃄙𝣰𝤁񆇡𝤁𝤈񋸥𝣿𝥂,dev
s2m00248af260f0696856dcbde1661aa83e.pose,gsg,0,3253,𝠀񀕑񇒥񌀈񍲑𝠃𝤬𝤣񀕑𝤄𝣪񇒥𝤅𝤋񌀈𝣠𝤀񍲑𝣯𝤔,train
