pose,videoLanguage,start,end,text,split
s2m000daa75a756a3772e8ceacd65fb725f.pose,gsg,576,1271,𝠀񋾡񋾡񍯑񋵡񂣹񆿃񁲩񀕃񅰈𝠃𝥊𝤴񋾡𝣊𝣘񋾡𝤓𝣘񍯑𝣗𝣮񋵡𝤈𝤮񂣹𝤌𝤘񆿃𝤜𝤜񁲩𝣃𝤓񀕃𝤬𝤝񅰈𝣝𝤞,train
s2m001836ee2b42115e3e7e5b96e587a27d.pose,gsg,933,1566,𝠀񋾡񎋵񈙇񈙓񃄑񃄙񆇡񋸥𝠃𝤽𝥈񋾡𝣴𝣅񎋵𝤁𝣙񈙇𝤟𝤁񈙓𝣐𝤁񃄑𝤇𝤁񃄙𝣰𝤁񆇡𝤁𝤈񋸥𝣿𝥂,dev
s2m002d788b15f3cf178000d2c87a9d6717.pose,gsg,338,2254,𝠀񋾡񋾡񎑱񆳅񀠲񀠺񆇡񆇡񉳋񉳓񋸥񁽁񇅇𝠃𝥃𝥃񋾡𝣉𝣊񋾡𝤒𝣊񎑱𝣓𝣟񆳅𝣔𝤂񀠲𝤣𝣳񀠺𝤈𝣳񆇡𝤞𝤀񆇡𝤞𝤟񉳋𝤮𝤋񉳓𝤂𝤋񋸥𝤛𝤽񁽁𝣟𝣷񇅇𝣭𝤐,train
s2m0042f89a451786ec50a91f564fc66aef.pose,gsg,830,1508,𝠀񋾡񌀅񍪱񁸂񇉨񅰂񋛓𝠃𝤶𝤰񋾡𝣖𝣜񌀅𝤇𝣜񍪱𝣡𝣲񁸂𝤚𝣰񇉨𝤕𝤅񅰂𝣠𝤇񋛓𝣟𝤠,train
s2m0086ce4414a2304413b104d54cc1f3c5.pose,gsg,1305,1796,𝠀񂌚񋾡񋾡񍘱񋵡񆇡񅟏񇆥񅰱񉳉𝠃𝤼𝤶񂌚𝤎𝤊񋾡𝣑𝣖񋾡𝤋𝣖񍘱𝣜𝣮񋵡𝤎𝤢񆇡𝤑𝤃񅟏𝤥𝤎񇆥𝤣𝤨񅰱𝣜𝤄񉳉𝣡𝤕,train
s2m00959175db37533e324549bd0cde3865.pose,gsg,1169,1237,𝠀񋾡񋾡񎋱񁲁񇀡񂤡񂤩񈙃񈙗񆇡񋸥𝠃𝥅𝥅񋾡𝣇𝣈񋾡𝤐𝣈񎋱𝣔𝣜񁲁𝣋𝣷񇀡𝣣𝤁񂤡𝤱𝣿񂤩𝤅𝣾񈙃𝤧𝤚񈙗𝤀𝤚񆇡𝤞𝤅񋸥𝤚𝤿,train
s2m009a202b400186aab14d65144282c0bf.pose,gsg,508,1491,𝠀񋾡񍪱񄵡񉍦񉍶񄵩񋺅𝠃𝤪𝤴񋾡𝤆𝣙񍪱𝤑𝣯񄵡𝣺𝣨񉍦𝤊𝤈񉍶𝣯𝤈񄵩𝣢𝣧񋺅𝤐𝤩,train
s2m009bed17c53b070a7699967d6023707d.pose,gsg,1525,1711,𝠃𝤆𝤆񋾡𝢩𝤁񁲹𝣐𝤄񈙂𝣊𝤥񆹡𝣏𝣺񍘱𝢴𝤚,train
s2m00a10d8a312d6af6e497fe521d0b6992.pose,gsg,661,1288,𝠀񋾡񋾡񎋵񂣱񂇩񈩡񃃑񆇡񆿅񋵡񆇡𝠃𝤿𝤭񋾡𝣍𝣟񋾡𝤛𝣟񎋵𝣚𝣳񂣱𝣟𝤆񂇩𝤙𝤊񈩡𝣔𝤝񃃑𝤣𝤆񆇡𝤦𝤌񆿅𝤲𝤘񋵡𝤚𝤨񆇡𝤦𝤞,train
s2m00bebf16d2310eb42d5f4fd58c29ae22.pose,gsg,2350,2466,𝠀񋾡񋾡񎊑񅯳񆕁񅯻񆕁񎣡񀀃񀀋񋻥񋟽񋟁񇆡񇆱񋺅𝠃𝥃𝥇񋾡𝣕𝣆񋾡𝤒𝣆񎊑𝣢𝣚񅯳𝣯𝣰񆕁𝣰𝤁񅯻𝣐𝣰񆕁𝣐𝤁񎣡𝣒𝣪񀀃𝤥𝣵񀀋𝤏𝤂񋻥𝤛𝤿񋟽𝤐𝤓񋟁𝤳𝤇񇆡𝣪𝤎񇆱𝣊𝤏񋺅𝣠𝤼,dev
ssc0fb28db4b8394cb57e3dfa5f9054543.pose,ssr,250,1708,𝠃𝤳𝤟񁲃𝤌𝣮񁲋𝣤𝤈񇑁𝤌𝤋񇑕𝣙𝣰,train
